,date,state,fips,cases,deaths,growth_rate,growth_accel,growth_accel_rate
0,2020-06-07,Washington,53,25064,1163,269.72614396870677,2.2614628686831852,0.2897895280332399
1,2020-06-07,Illinois,17,128070,5939,1609.608107919942,-12.399625482589757,-2.009170133633144
2,2020-06-07,California,6,131997,4653,1939.9565877677169,29.70845627307337,0.4633412904814091
3,2020-06-07,Arizona,4,26924,1048,469.3384822030674,16.561667869437553,1.2796414727455327
4,2020-06-07,Massachusetts,25,103436,7316,1083.0047707975639,-13.485030172118565,-0.7560718918057514
5,2020-06-07,Wisconsin,55,20950,648,313.60147469834516,2.8460808903225643,-0.27967395141240564
6,2020-06-07,Texas,48,75948,1846,1105.0234738902175,14.304546009656073,0.18173223306314776
7,2020-06-07,Nebraska,31,15634,196,233.1906145469748,0.035620905761853394,-0.27214996107393596
8,2020-06-07,Utah,49,12084,121,186.9595044983234,4.360271231681254,0.27094738567672716
9,2020-06-07,Oregon,41,4809,164,58.60004762563888,0.6402629543983566,0.10890469723879571
10,2020-06-07,Florida,12,63930,2699,806.2777552468604,9.105154633491788,0.8467369225535599
11,2020-06-07,New York,36,382879,30183,2845.6705448303333,-74.2059503226562,0.9057052714538744
12,2020-06-07,Rhode Island,44,15441,772,171.68638721677303,-3.197456439587398,-0.21186475579007125
13,2020-06-07,Georgia,13,49371,2148,609.1204985895904,0.27558852834825054,-0.08590189650823106
14,2020-06-07,New Hampshire,33,5043,286,66.18456637528283,-0.10078783062660544,-0.04884406864481681
15,2020-06-07,North Carolina,37,35663,1024,614.5389124879157,14.22178226543939,0.4757936115693304
16,2020-06-07,New Jersey,34,164164,12176,1434.0058401100912,-33.424849633443095,-0.2603943650130784
17,2020-06-07,Colorado,8,27987,1527,324.5030130490518,-2.4254357476176374,-0.1933891294191908
18,2020-06-07,Maryland,24,58593,2749,833.7062953150743,0.0061362197977860855,-0.7852324907006217
19,2020-06-07,Nevada,32,9673,438,121.68724447690008,0.9502054348550474,0.0993953921123315
20,2020-06-07,Tennessee,47,26811,414,386.2778555425785,4.198222152344954,0.07939043053166703
21,2020-06-07,Hawaii,15,663,17,3.883835894366533,-0.06260670490591906,0.01145494689988574
22,2020-06-07,Indiana,18,38328,2303,488.23768903693576,-1.5378478544331742,-0.17832472035403932
23,2020-06-07,Kentucky,21,11393,481,160.4784682460956,1.0731437844139289,0.02051594249488585
24,2020-06-07,Minnesota,27,27897,1197,470.0465090001472,2.5142894943760545,-0.5150347284275264
25,2020-06-07,Oklahoma,40,7151,348,88.30297479477049,-0.025282510965369417,-0.009236944099997193
26,2020-06-07,Pennsylvania,42,80001,5997,855.1214946566913,-11.165775218063386,-0.2730974644487707
27,2020-06-07,South Carolina,45,14286,546,215.4614588973677,4.638792574125384,0.2868303334456839
28,2020-06-07,District of Columbia,11,9332,489,114.51629616490803,-1.0677100310301666,-0.0836596880114609
29,2020-06-07,Kansas,20,10549,234,135.27187436074882,-1.6734857358414312,-0.14647319348360294
30,2020-06-07,Missouri,29,14985,823,188.28421300361495,1.1486248128693737,0.1371269140616694
31,2020-06-07,Vermont,50,1063,55,8.231426495379273,0.03808562934806417,0.028859834897216635
32,2020-06-07,Virginia,51,50681,1472,801.7129418768917,7.026594965773138,-0.285834833545105
33,2020-06-07,Connecticut,9,43968,4071,449.388378255281,-8.13342793584392,-0.17258051923472612
34,2020-06-07,Iowa,19,21794,606,322.1319243575808,0.21896474409041117,-0.17017779028526592
35,2020-06-07,Louisiana,22,42927,2936,434.4321410172173,-1.6014549935961968,0.12430838175278427
36,2020-06-07,Ohio,39,38476,2377,498.9797715876505,-1.6678897328661089,-0.30876519002155817
37,2020-06-07,Michigan,26,64615,5898,717.4036908014941,5.268100695682979,1.3134361251567856
38,2020-06-07,South Dakota,46,5438,65,72.05641012143532,-0.16647187948808576,-0.011749845187242671
39,2020-06-07,Arkansas,5,9426,154,165.04668557197428,4.770066934770124,0.2539100985056728
40,2020-06-07,Delaware,10,9942,398,123.23210471985456,-1.6923799856171748,-0.12206485371660929
41,2020-06-07,Mississippi,28,17270,817,250.9095573038392,1.1247332031543318,-0.15977462329004857
42,2020-06-07,New Mexico,35,8940,396,132.89057712287615,1.1391671205179845,0.05486780015506661
43,2020-06-07,North Dakota,38,2864,75,41.619307880533924,0.020919686716778383,-0.00828929477269052
44,2020-06-07,Wyoming,56,947,17,10.391507047626602,-0.0991709965127173,-0.005647252304463909
45,2020-06-07,Alaska,2,588,8,7.6906966591069486,0.24851218275480527,0.018570404904441278
46,2020-06-07,Maine,23,2570,99,35.54429335871764,0.18099008810238973,-0.01235797397670327
47,2020-06-07,Alabama,1,20500,692,322.7960244208795,3.7579585162826747,-0.059592874552782144
48,2020-06-07,Idaho,16,3153,83,34.077813488738315,0.08397723194517417,0.00804912280634045
49,2020-06-07,Montana,30,545,18,4.201225798200039,0.0009547136282499893,0.0046549202166115385
50,2020-06-07,Puerto Rico,72,4985,142,86.90260519540045,2.512102700953524,0.15571330160800043
51,2020-06-07,Virgin Islands,78,71,6,0.4105603374853483,-0.01254182800283838,0.0006464209400890447
52,2020-06-07,Guam,66,1148,6,7.031212640838246,-0.2999172882193939,0.010012803310595694
53,2020-06-07,West Virginia,54,2144,84,26.91600684730978,-0.14199557951564248,-0.038573291928641604
54,2020-06-07,Northern Mariana Islands,69,27,2,0.34477265152134906,0.00626457987567919,0.0009708114631250486
