;date;state;fips;cases;deaths;growth_rate;growth_accel;growth_accel_rate;growth_rate_NORM_(%);growth_accel_NORM_(%);growth_accel_rate_NORM_(%);LENTO;EXPONENCIAL;DECRESCENTE;ESTAVEL;LINEAR;CLASSIFICACAO
0;2020-06-08;Washington;53;25593;1168;278.1755530685293;3.0349561534584057;0.37040682082423226;1.086920458986947;0.011858540043990177;0.0014472973892245232;0;1;0;0;0;EXPONENCIAL
1;2020-06-08;Illinois;17;128819;5964;1581.5322206238502;-14.35915823152372;-2.000897236183163;1.2277165795603524;-0.011146770454299227;-0.0015532625126597496;0;0;1;0;0;DECRESCENTE
2;2020-06-08;California;6;134287;4679;1951.380475052001;27.422885119820254;0.005189216517850229;1.4531417598516616;0.020421101908464894;3.86427317450701e-06;0;1;0;0;0;EXPONENCIAL
3;2020-06-08;Arizona;4;27761;1052;481.342030658185;15.991902934199002;0.9714070714085511;1.7338785730275748;0.057605644372317286;0.003499178961163327;0;1;0;0;0;EXPONENCIAL
4;2020-06-08;Massachusetts;25;103626;7353;1053.7727210726853;-15.453407681248583;-0.9581228280387958;1.016899929624501;-0.014912674117739355;-0.0009245969428896182;0;0;1;0;0;DECRESCENTE
5;2020-06-08;Wisconsin;55;21161;650;310.2359021658347;2.069624168703746;-0.362471079790621;1.4660739197856183;0.009780370344991948;-0.0017129203713937007;0;0;0;0;1;LINEAR
6;2020-06-08;Texas;48;77326;1856;1114.0169069305934;13.64065679320638;0.040795324747087545;1.4406757195905562;0.01764045313763337;5.275757797776627e-05;0;1;0;0;0;EXPONENCIAL
7;2020-06-08;Nebraska;31;15752;196;229.38109672871644;-0.44502156924372654;-0.3068987134350922;1.4562030010710796;-0.0028251750205924744;-0.0019483158547174465;0;0;0;0;1;LINEAR
8;2020-06-08;Utah;49;12378;124;190.52646230491638;4.261106972784394;0.20926211128179908;1.5392346284126384;0.034424842242562564;0.0016905971181273153;0;1;0;0;0;EXPONENCIAL
9;2020-06-08;Oregon;41;4925;164;60.51936415974813;0.8001448462283925;0.117400896408578;1.2288195768476777;0.01624659586250543;0.002383774546367066;0;1;0;0;0;EXPONENCIAL
10;2020-06-08;Florida;12;64896;2711;811.6317524394608;8.63625920885192;0.6274648620403501;1.2506652990006484;0.013307845181293021;0.0009668775610828867;0;1;0;0;0;EXPONENCIAL
11;2020-06-08;New York;36;383591;30239;2774.1484714672165;-73.87046517001878;0.810668583836928;0.7232047862090656;-0.019257611667119087;0.00021133670598030924;0;0;0;0;0;
12;2020-06-08;Rhode Island;44;15642;799;172.6689992554965;-2.6749470501399752;-0.08946906343926761;1.1038805731715668;-0.017101055172867762;-0.000571979692106301;0;0;1;0;0;DECRESCENTE
13;2020-06-08;Georgia;13;49995;2176;609.6199210903683;0.30356782567509805;-0.06692169726070232;1.2193617783585724;0.0006071963709872948;-0.00013385678019942458;0;0;0;0;1;LINEAR
14;2020-06-08;New Hampshire;33;5079;286;65.17143756079898;-0.21483066055866756;-0.05971052901680845;1.2831549037369359;-0.004229782645376404;-0.0011756355388227691;0;0;0;0;1;LINEAR
15;2020-06-08;North Carolina;37;36581;1041;624.7381899498107;13.718968122206766;0.31269231626640925;1.7078215192307775;0.037502988223959886;0.0008547943365856844;0;1;0;0;0;EXPONENCIAL
16;2020-06-08;New Jersey;34;164497;12214;1396.9494526017113;-33.87879294373708;-0.29265252323296403;0.8492248810627011;-0.020595386507800798;-0.00017790751395646367;0;0;0;0;0;
17;2020-06-08;Colorado;8;28169;1543;319.69986811330705;-2.722650201220899;-0.21069335054979973;1.1349350992697897;-0.009665413047040715;-0.0007479617684326733;0;0;0;0;1;LINEAR
18;2020-06-08;Maryland;24;59024;2776;820.1328510660793;-1.6913159368189428;-0.9372691054933389;1.389490463313363;-0.002865471565496989;-0.0015879457601879554;0;0;0;0;1;LINEAR
19;2020-06-08;Nevada;32;9815;442;122.37189743078685;0.9170112848184961;0.07729713453422059;1.2467844873233505;0.009342957563102354;0.0007875408510873213;0;0;0;0;1;LINEAR
20;2020-06-08;Tennessee;47;27217;417;386.9426016152814;3.7565364459620616;-0.007455594461880675;1.4216945350893977;0.013802169401337626;-2.7393153036266578e-05;0;1;0;0;0;EXPONENCIAL
21;2020-06-08;Hawaii;15;664;17;3.7864889617762647;-0.0669492468098607;0.0088220320201402;0.5702543617132928;-0.01008271789305131;0.0013286192801415964;0;0;0;0;0;
22;2020-06-08;Indiana;18;38553;2316;479.3518222579159;-2.4563530634634825;-0.3016881388399517;1.2433580324693692;-0.006371366854624757;-0.000782528308665867;0;0;0;0;1;LINEAR
23;2020-06-08;Kentucky;21;11701;487;165.45821367311996;1.5614705014747288;0.0984844072651515;1.4140519072995468;0.01334476114413066;0.0008416751325967993;0;1;0;0;0;EXPONENCIAL
24;2020-06-08;Minnesota;27;28235;1208;465.58913934345895;1.642829402675686;-0.5744389574245055;1.6489787120363342;0.005818414742963293;-0.0020344925001753336;0;0;0;0;1;LINEAR
25;2020-06-08;Oklahoma;40;7206;348;87.1787976358916;-0.16264476719293777;-0.03059116342952715;1.2098084601150654;-0.0022570742047313044;-0.0004245235002709846;0;0;0;0;1;LINEAR
26;2020-06-08;Pennsylvania;42;80432;6007;840.8048247549533;-11.559638272821894;-0.2932250634384738;1.0453610811057208;-0.014371939368437803;-0.00036456269076794536;0;0;1;0;0;DECRESCENTE
27;2020-06-08;South Carolina;45;14800;557;225.53894329690868;5.318631156908536;0.3523317103032934;1.5239117790331669;0.03593669700613875;0.0023806196642114415;0;1;0;0;0;EXPONENCIAL
28;2020-06-08;District of Columbia;11;9389;491;112.57176272246643;-1.177313345232367;-0.0879836258658161;1.1989749997067465;-0.012539283685508221;-0.0009370926175930993;0;0;1;0;0;DECRESCENTE
29;2020-06-08;Kansas;20;10724;237;136.61501837491744;-1.2964056829835424;-0.05921431594725455;1.2739184854057948;-0.012088825839085627;-0.0005521663180460141;0;0;1;0;0;DECRESCENTE
30;2020-06-08;Missouri;29;15159;832;187.80128674207594;0.9446802070137136;0.08028165869257121;1.2388764875128697;0.006231810851729755;0.0005295973262917818;0;0;0;0;1;LINEAR
31;2020-06-08;Vermont;50;1075;55;8.358835902776152;0.049251141107669816;0.02591078093462064;0.7775661304908048;0.00458150149838789;0.0024103052032205243;0;0;0;1;0;ESTAVEL
32;2020-06-08;Virginia;51;51251;1477;793.8791000864837;5.169033799211871;-0.5477892318258407;1.549002165980144;0.010085722813626798;-0.0010688361823688137;0;1;0;0;0;EXPONENCIAL
33;2020-06-08;Connecticut;9;44092;4084;438.3698689649429;-8.494064563361302;-0.20392320530456645;0.9942163407532951;-0.01926441205516035;-0.0004624947956648971;0;0;0;0;0;
34;2020-06-08;Iowa;19;22111;623;321.9581438540652;0.16987138963457882;-0.1499970501072257;1.4560994249652444;0.0007682664268218479;-0.0006783820275303048;0;0;0;0;1;LINEAR
35;2020-06-08;Louisiana;22;43163;2944;427.70154526152146;-2.242600551625769;-0.0032672815011947185;0.990898559556846;-0.005195654962875076;-7.569634875228132e-06;0;0;0;1;0;ESTAVEL
36;2020-06-08;Ohio;39;38837;2404;494.2996524282289;-2.0444201511522735;-0.3200593953187085;1.2727544672045443;-0.005264104207720147;-0.00082410947117107;0;0;0;0;1;LINEAR
37;2020-06-08;Michigan;26;64911;5916;703.0855776710677;2.819811037505691;0.6864817888735155;1.0831532061916587;0.004344118928233567;0.0010575738917494963;0;0;0;0;1;LINEAR
38;2020-06-08;South Dakota;46;5471;65;70.72938306687053;-0.31154204251759055;-0.03396989954532157;1.2928053932895363;-0.005694425927939875;-0.0006209084179367861;0;0;0;0;1;LINEAR
39;2020-06-08;Arkansas;5;9740;155;170.11670712339202;4.8075614881554545;0.21784083828896256;1.7465781018828748;0.04935894751699645;0.0022365589146710737;0;1;0;0;0;EXPONENCIAL
40;2020-06-08;Delaware;10;9972;398;120.0587024895732;-1.8775088835752956;-0.13257552854267282;1.2039581075970034;-0.01882780669449755;-0.0013294778233320578;0;0;1;0;0;DECRESCENTE
41;2020-06-08;Mississippi;28;17768;837;259.3199365856256;2.035444459726907;0.018639703359213812;1.459477355839856;0.011455675707603032;0.00010490602971191925;0;1;0;0;0;EXPONENCIAL
42;2020-06-08;New Mexico;35;9062;400;132.51988741427596;0.9504338777485152;0.014267623298911663;1.4623690952800261;0.010488124892391473;0.0001574445298930883;0;1;0;0;0;EXPONENCIAL
43;2020-06-08;North Dakota;38;2883;75;40.84939967894185;-0.0779343959714675;-0.023383427220435314;1.4169059895574696;-0.002703239541153919;-0.0008110796815967851;0;0;0;0;1;LINEAR
44;2020-06-08;Wyoming;56;960;17;10.480294031226386;-0.07567610719148941;-0.0007902283370553128;1.0916972949194153;-0.007882927832446814;-8.231545177659508e-05;0;0;0;0;1;LINEAR
45;2020-06-08;Alaska;2;607;8;8.076348004566052;0.26565469634013933;0.018332422996572662;1.3305350913617877;0.04376518885340022;0.0030201685332080165;0;1;0;0;0;EXPONENCIAL
46;2020-06-08;Maine;23;2588;99;34.946026592412615;0.08358230939261711;-0.026532942703933974;1.3503101465383545;0.0032296101001784046;-0.0010252296253452076;0;0;0;0;1;LINEAR
47;2020-06-08;Alabama;1;20925;718;326.28786449855914;3.724693449218421;-0.055204906165623124;1.5593207383443686;0.01780020764262089;-0.00026382272958481784;0;1;0;0;0;EXPONENCIAL
48;2020-06-08;Idaho;16;3197;83;34.41680899573221;0.11585476762679559;0.012020525379777845;1.0765345322406072;0.003623858856014876;0.0003759939124109429;0;0;0;0;1;LINEAR
49;2020-06-08;Montana;30;548;18;4.160185433960486;-0.0042947124880847;0.0030041956500718088;0.7591579259051981;-0.0007837066584096169;0.0005482108850496002;0;0;0;1;0;ESTAVEL
50;2020-06-08;Puerto Rico;72;5046;142;86.01763223397596;2.087464895604344;0.05898810670179908;1.7046696835904869;0.04136870581855616;0.0011690072671779446;0;1;0;0;0;EXPONENCIAL
51;2020-06-08;Virgin Islands;78;71;6;0.3965056772731434;-0.012730933732756971;0.0005071664770973763;0.558458700384709;-0.017930892581347845;0.0007143189818272906;0;0;0;0;0;
52;2020-06-08;Guam;66;1149;6;6.824324716768833;-0.2882884979639979;0.010282134509816545;0.5939360066813605;-0.02509038276449068;0.0008948768067725452;0;0;0;0;0;
53;2020-06-08;West Virginia;54;2161;84;26.574391613413777;-0.16694837189283004;-0.03630320816328856;1.2297265901625996;-0.007725514664175383;-0.0016799263379587486;0;0;0;0;1;LINEAR
54;2020-06-08;Northern Mariana Islands;69;28;2;0.36803253314766676;0.008389116717472852;0.0011630993451852711;1.31440190409881;0.029961131133831614;0.00415392623280454;1;1;0;0;0;LENTO
